actores,anio,calificacion,duracion,metascore,ranking,titulo
"Tim Robbins, Morgan Freeman, Bob Gunton",1994,9.3,2h 22m,82,1,The Shawshank Redemption
"Marlon Brando, Al Pacino, James Caan",1972,9.2,2h 55m,100,2,The Godfather
"Christian Bale, Heath Ledger, Aaron Eckhart",2008,9.1,2h 32m,85,3,The Dark Knight
"Al Pacino, Robert De Niro, Robert Duvall",1974,9.0,3h 22m,90,4,The Godfather Part II
"Henry Fonda, Lee J. Cobb, Martin Balsam",1957,9.0,1h 36m,97,5,12 Angry Men
"Elijah Wood, Viggo Mortensen, Ian McKellen",2003,9.0,3h 21m,94,6,The Lord of the Rings: The Return of the King
"Liam Neeson, Ralph Fiennes, Ben Kingsley",1993,9.0,3h 15m,95,7,Schindler's List
"John Travolta, Uma Thurman, Samuel L. Jackson",1994,8.8,2h 34m,95,8,Pulp Fiction
"Elijah Wood, Ian McKellen, Orlando Bloom",2001,8.9,2h 58m,92,9,The Lord of the Rings: The Fellowship of the Ring
"Clint Eastwood, Eli Wallach, Lee Van Cleef",1966,8.8,2h 58m,90,10,"The Good, the Bad and the Ugly"
"Tom Hanks, Robin Wright, Gary Sinise",1994,8.8,2h 22m,82,11,Forrest Gump
